127.0.0.1 - - [12/May/2014:18:23:47 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/May/2014:18:24:39 -0300] "GET /scada/ HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [12/May/2014:18:25:20 -0300] "POST /scada/login/efetuarLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:25:25 -0300] "GET /scada/home/home HTTP/1.1" 200 14106
0:0:0:0:0:0:0:1 - - [12/May/2014:18:25:28 -0300] "GET /scada/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:00 -0300] "GET /scada/home/home HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/EQ-css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/EQ-css/morris-0.4.3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/js/submenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/EQ-css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:01 -0300] "GET /scada/js/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/morris/chart-data-morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/tablesorter/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/morris-0.4.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:02 -0300] "GET /scada/EQ-js/tablesorter/jquery.tablesorter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:04 -0300] "GET /scada/css/images/steps.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:18:50:04 -0300] "GET /scada/imagens/profile-pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:00:12 -0300] "GET /scada/login/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:00:13 -0300] "GET /scada/ HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [12/May/2014:20:00:35 -0300] "POST /scada/login/efetuarLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:00:36 -0300] "GET /scada/home/home HTTP/1.1" 200 14106
0:0:0:0:0:0:0:1 - - [12/May/2014:20:04:32 -0300] "GET /scada/ HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [12/May/2014:20:04:32 -0300] "GET /scada/css/bootstrap.css HTTP/1.1" 200 127247
0:0:0:0:0:0:0:1 - - [12/May/2014:20:04:35 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/May/2014:20:04:44 -0300] "POST /scada/login/efetuarLogin;jsessionid=115BE637EC0450E39BB06703A23C5C33 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:04:44 -0300] "GET /scada/ HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:08 -0300] "POST /scada/login/efetuarLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:08 -0300] "GET /scada/home/home HTTP/1.1" 200 14106
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:08 -0300] "GET /scada/EQ-css/bootstrap.css HTTP/1.1" 200 122998
